Material,tipo,Cantidad total
628135,emulsionante,200.0
628135,excipiente,175.36
628135,agua,617.44
628135,colorante,7.2
628175,agua,613.26
628175,colorante,11.88
628175,emulsionante,200.0
628175,excipiente,174.86
628205,emulsionante,150.0
628205,excipiente,200.36
628205,agua,646.32
628205,colorante,3.32
628305,agua,618.34
628305,colorante,6.8
628305,emulsionante,200.0
628305,excipiente,174.86
628345,excipiente,174.86
628345,agua,620.64
628345,colorante,14.5
628345,emulsionante,190.0
628405,excipiente,175.86
628405,emulsionante,190.0
628405,agua,623.37
628405,colorante,10.77
628445,agua,605.36
628445,colorante,13.78
628445,emulsionante,205.0
628445,excipiente,175.86
628495,agua,570.64
628495,colorante,19.0
628495,emulsionante,205.0
628495,excipiente,205.36
628605,agua,613.54
628605,colorante,9.1
628605,emulsionante,200.0
628605,excipiente,177.36
628645,colorante,11.9
628645,excipiente,176.86
628645,agua,611.24
628645,emulsionante,200.0
628815,agua,528.23
628815,colorante,4.82
628815,emulsionante,180.0
628815,excipiente,286.95
628825,agua,533.57
628825,colorante,1.48
628825,emulsionante,180.0
628825,excipiente,284.95
628835,emulsionante,180.0
628835,agua,530.3
628835,colorante,2.75
628835,excipiente,286.95
629005,excipiente,178.76
629005,emulsionante,170.0
629005,colorante,7.0
629005,agua,646.24
629065,agua,615.64
629065,colorante,6.1
629065,emulsionante,200.0
629065,excipiente,178.26
629085,agua,600.29
629085,colorante,10.45
629085,emulsionante,180.0
629085,excipiente,209.26
629215,agua,613.32
629215,colorante,4.92
629215,emulsionante,190.0
629215,excipiente,191.76
629225,excipiente,175.76
629225,emulsionante,170.0
629225,colorante,3.95
629225,agua,650.29
629305,agua,647.16
629305,colorante,6.08
629305,emulsionante,170.0
629305,excipiente,176.76
629325,agua,628.82
629325,colorante,5.42
629325,emulsionante,190.0
629325,excipiente,175.76
629335,agua,640.64
629335,colorante,8.6
629335,emulsionante,150.0
629335,excipiente,200.76
629345,excipiente,201.76
629345,emulsionante,140.0
629345,agua,652.74
629345,colorante,5.5
629605,excipiente,175.76
629605,emulsionante,180.0
629605,agua,639.34
629605,colorante,4.9
629635,agua,654.24
629635,colorante,5.5
629635,emulsionante,140.0
629635,excipiente,200.26
629805,agua,653.71
629805,colorante,2.53
629805,emulsionante,170.0
629805,excipiente,173.76
629825,agua,650.29
629825,colorante,3.95
629825,emulsionante,170.0
629825,excipiente,175.76
629835,excipiente,176.76
629835,emulsionante,170.0
629835,colorante,1.91
629835,agua,651.33
629845,agua,649.49
629845,colorante,5.75
629845,emulsionante,170.0
629845,excipiente,174.76
629865,agua,642.74
629865,colorante,7.0
629865,emulsionante,150.0
629865,excipiente,200.26
629875,agua,601.78
629875,colorante,7.46
629875,emulsionante,200.0
629875,excipiente,190.76
629905,excipiente,279.95
629905,emulsionante,180.0
629905,agua,540.05
629915,agua,528.23
629915,colorante,4.82
629915,emulsionante,180.0
629915,excipiente,286.95
629925,agua,535.08
629925,colorante,0.97
629925,emulsionante,180.0
629925,excipiente,283.95
629935,excipiente,289.95
629935,emulsionante,160.0
629935,colorante,1.0
629935,agua,549.05
629945,agua,652.1
629945,colorante,2.14
629945,emulsionante,145.0
629945,excipiente,200.76
629955,agua,596.04
629955,colorante,4.52
629955,emulsionante,150.0
629955,excipiente,249.44
629965,emulsionante,150.0
629965,excipiente,249.44
629965,agua,599.38
629965,colorante,1.18
629975,emulsionante,150.0
629975,excipiente,252.61
629975,agua,597.13
629975,colorante,0.26
629985,colorante,3.4
629985,emulsionante,170.0
629985,agua,635.34
629985,excipiente,191.26
629995,emulsionante,170.0
629995,agua,673.14
629995,excipiente,156.86
